phenotype,phenotype_label,as,ct
HP:0003107,Abnormal circulating cholesterol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0011965,Abnormal circulating citrulline concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034616,Abnormal circulating coenzyme concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010836,Abnormal circulating copper concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012112,Abnormal circulating corticosterone level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012113,Abnormal circulating creatine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0040081,Abnormal circulating creatine kinase concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012100,Abnormal circulating creatinine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010918,Abnormal circulating cysteine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500022,Abnormal circulating dehydroepiandrosterone concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010995,Abnormal circulating dicarboxylic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500249,Abnormal circulating ethanolamine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010966,Abnormal circulating fatty-acid anion concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004359,Abnormal circulating fatty-acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0032209,Abnormal circulating free T3 concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500166,Abnormal circulating gastrin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500148,Abnormal circulating glutamate concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010903,Abnormal circulating glutamine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010902,Abnormal circulating glutamine family amino acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031795,Abnormal circulating glycerol level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010895,Abnormal circulating glycine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0030338,Abnormal circulating gonadotropin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0410341,Abnormal circulating heparan sulfate level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010904,Abnormal circulating histidine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010919,Abnormal circulating homocysteine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003117,Abnormal circulating hormone concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031210,Abnormal circulating hyaluronic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010701,Abnormal circulating immunoglobulin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0040214,Abnormal circulating insulin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010912,Abnormal circulating isoleucine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033435,Abnormal circulating keto acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004361,Abnormal circulating leptin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004357,Abnormal circulating leucine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003119,Abnormal circulating lipid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010964,Abnormal circulating long-chain fatty-acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0030345,Abnormal circulating luteinizing hormone concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010908,Abnormal circulating lysine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0032180,Abnormal circulating metabolite concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010901,Abnormal circulating methionine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010996,Abnormal circulating monocarboxylic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0040206,Abnormal circulating neopterin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0410205,Abnormal circulating nicotinurate concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004364,Abnormal circulating nitrogen compound concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033109,Abnormal circulating non-proteinogenic amino acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010932,Abnormal circulating nucleobase concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033405,Abnormal circulating organic amino compound concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0430071,Abnormal circulating organic compound concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012025,Abnormal circulating ornithine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010893,Abnormal circulating phenylalanine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0040176,Abnormal circulating phospholipid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010965,Abnormal circulating phytanic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0011012,Abnormal circulating polysaccharide concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010472,Abnormal circulating porphyrin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0011042,Abnormal circulating potassium concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031212,Abnormal circulating progesterone level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010907,Abnormal circulating proline concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010876,Abnormal circulating protein concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033107,Abnormal circulating proteinogenic amino acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033108,Abnormal circulating proteinogenic amino acid derivative concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004352,Abnormal circulating purine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004353,Abnormal circulating pyrimidine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010915,Abnormal circulating pyruvate family amino acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0040084,Abnormal circulating renin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010898,Abnormal circulating sarcosine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012278,Abnormal circulating serine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010894,Abnormal circulating serine family amino acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033147,Abnormal circulating short-chain fatty-acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004339,Abnormal circulating sulfur amino acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0030087,Abnormal circulating testosterone concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010900,Abnormal circulating threonine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031508,Abnormal circulating thyroid hormone concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004365,Abnormal circulating tryptophan concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010917,Abnormal circulating tyrosine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0011022,Abnormal circulating unsaturated fatty acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010914,Abnormal circulating valine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0040126,Abnormal circulating vitamin B12 concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0030687,Abnormal glucagon level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0410177,Abnormal glucose-6-phosphate dehydrogenase level in blood,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500012,Abnormal gonadotropin-releasing hormone concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004921,Abnormal magnesium concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0032096,Abnormal manganese concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0030984,Abnormal serum bile acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0030972,Abnormal systemic blood pressure,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012099,Abnormality of circulating catecholamine level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0011731,Abnormality of circulating cortisol level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012111,Abnormality of circulating glucocorticoid level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0011031,Abnormality of iron homeostasis,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010979,Abnormality of lipoprotein cholesterol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012146,Abnormality of von Willebrand factor,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0032368,Acidemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0032369,Alkalemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002157,Azotemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004925,Chronic lactic acidosis,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003286,Cystathioninemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0040146,D-2-hydroxyglutaric acidemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003233,Decreased HDL cholesterol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003563,Decreased LDL cholesterol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031243,Decreased VLDL cholesterol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034935,Decreased circulating 7-dehydrocholesterol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002920,Decreased circulating ACTH concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002720,Decreased circulating IgA concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0410245,Decreased circulating IgD concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0005479,Decreased circulating IgE concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004315,Decreased circulating IgG concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004319,Decreased circulating aldosterone concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0030349,Decreased circulating androgen concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034441,Decreased circulating aspartic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0430073,Decreased circulating beta-carotene concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012053,Decreased circulating calcifediol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003234,Decreased circulating carnitine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500162,Decreased circulating carnosine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010837,Decreased circulating ceruloplasmin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031242,Decreased circulating chylomicron concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0011967,Decreased circulating copper concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0032363,Decreased circulating corticosterone level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0008163,Decreased circulating cortisol level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0032210,Decreased circulating free T3,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031794,Decreased circulating glycerol level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0030339,Decreased circulating gonadotropin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0410343,Decreased circulating heparan sulfate level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500140,Decreased circulating hydroxyproline concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004313,Decreased circulating immunoglobulin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0030344,Decreased circulating luteinizing hormone level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003351,Decreased circulating renin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034938,Decreased circulating sialic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003460,Decreased circulating total IgA,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002850,Decreased circulating total IgM,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0030689,Decreased glucagon level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0410179,Decreased glucose-6-phosphate dehydrogenase level in blood,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034203,Decreased iduronate sulfatase level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0030985,Decreased serum bile acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012101,Decreased serum creatinine,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003292,Decreased serum leptin,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0040171,Decreased serum testosterone concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0032345,Elevated cancer Ag 19-9 level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031211,Elevated cholesterol ester level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033301,Elevated circulating 1-methylhistidine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:6000278,Elevated circulating 2-aminoadipic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033419,Elevated circulating 3-hydroxybutyric acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033157,Elevated circulating 3-methylhistidine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033302,Elevated circulating 4-hydroxyphenylacetic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033437,Elevated circulating 4-methyl-2-oxopentanoic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033175,Elevated circulating 5-oxoproline concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010569,Elevated circulating 7-dehydrocholesterol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033155,Elevated circulating L-alloisoleucine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031945,"Elevated circulating N,N-dimethylglycine concentration",http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034617,Elevated circulating S-adenosyl methionine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034730,Elevated circulating S-adenosyl-L-homocysteine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034731,Elevated circulating S-adenosyl-L-methionine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034745,Elevated circulating S-sulfocysteine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0045045,Elevated circulating acylcarnitine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033110,Elevated circulating alpha-aminobutyric acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034736,Elevated circulating alpha-oxoadipic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034611,Elevated circulating arabinitol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034592,Elevated circulating beta-aminoisobutyric acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034383,Elevated circulating biliverdin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003528,Elevated circulating calcitonin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0035030,Elevated circulating carnitine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003334,Elevated circulating catecholamine level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034291,Elevated circulating creatine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003236,Elevated circulating creatine kinase concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034277,Elevated circulating deoxyuridine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034594,Elevated circulating dihydrothymine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034593,Elevated circulating dihydrouracil concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:6000234,Elevated circulating dihydroxyphenylacetic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033153,Elevated circulating dodecenoylcarnitine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034614,Elevated circulating erythritol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033504,Elevated circulating fumarate concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003530,Elevated circulating glutaric acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034456,Elevated circulating glutathione concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0025641,Elevated circulating glycolate concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:6000271,Elevated circulating glycylproline concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034321,Elevated circulating guanidinoacetic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034298,Elevated circulating hexacosanoic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034741,Elevated circulating homoarginine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033324,Elevated circulating homovanillic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:4000213,Elevated circulating hyaluronic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033417,Elevated circulating hydroxybutyric acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034936,Elevated circulating lathosterol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003455,Elevated circulating long chain fatty acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0011969,Elevated circulating luteinizing hormone level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:6000267,Elevated circulating methionine sulfoxide concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033146,Elevated circulating methylsuccinic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033356,Elevated circulating o-phosphoserine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010571,Elevated circulating phytanic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:6000268,Elevated circulating pipecolic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034606,Elevated circulating porphyrin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033387,Elevated circulating pyridinoline concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0025550,Elevated circulating ribitol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033325,Elevated circulating sebacic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033341,Elevated circulating sitosterol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033177,Elevated circulating suberic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0020149,Elevated circulating succinate,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034297,Elevated circulating tetracosanoic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034276,Elevated circulating thymidine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:4000095,Elevated circulating thymine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034290,Elevated circulating tiglylglycine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033139,Elevated circulating uracil concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004890,Elevated pulmonary artery pressure,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0008247,Euthyroid hyperthyroxinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0000790,Hematuria,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031414,High serum calcifediol,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031415,High serum calcitriol,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003260,Hydroxyprolinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003348,Hyperalaninemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012117,Hyperalbuminemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0001987,Hyperammonemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0410288,Hyperamylasemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500153,Hyperargininemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500156,Hyperasparaginemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012556,Hyperbeta-alaninemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002904,Hyperbilirubinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003072,Hypercalcemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012416,Hypercapnia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0011423,Hyperchloremia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003124,Hypercholesterolemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500151,Hypercystinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012024,Hypergalactosemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500167,Hypergastrinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500149,Hyperglutamatemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003217,Hyperglutaminemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003074,Hyperglycemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0040302,Hyperglycerolemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002154,Hyperglycinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010906,Hyperhistidinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002160,Hyperhomocystinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0000842,Hyperinsulinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010913,Hyperisoleucinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002153,Hyperkalemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0410175,Hyperketonemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010911,Hyperleucinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003077,Hyperlipidemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010980,Hyperlipoproteinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002161,Hyperlysinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002918,Hypermagnesemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0032097,Hypermanganesemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003235,Hypermethioninemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003228,Hypernatremia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012026,Hyperornithinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012419,Hyperoxemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004923,Hyperphenylalaninemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002905,Hyperphosphatemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0008358,Hyperprolinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002152,Hyperproteinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010896,Hypersarcosinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500138,Hyperserinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500181,Hypertaurinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0000822,Hypertension,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003354,Hyperthreoninemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002155,Hypertriglyceridemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500134,Hypertryptophanemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003231,Hypertyrosinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002149,Hyperuricemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010910,Hypervalinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010933,Hyperxanthinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500154,Hypoalaninemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003073,Hypoalbuminemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0100493,Hypoammonemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0410289,Hypoamylasemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0005961,Hypoargininemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500157,Hypoasparaginemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033480,Hypobilirubinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002901,Hypocalcemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012417,Hypocapnia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003113,Hypochloremia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003146,Hypocholesterolemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500152,Hypocystinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500150,Hypoglutamatemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500147,Hypoglutaminemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0001943,Hypoglycemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012277,Hypoglycinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500145,Hypohistidinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0020222,Hypohomocysteinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0040216,Hypoinsulinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500144,Hypoisoleucinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002900,Hypokalemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500143,Hypoleucinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0045014,Hypolipidemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010981,Hypolipoproteinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500142,Hypolysinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002917,Hypomagnesemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0032098,Hypomanganesemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003658,Hypomethioninemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002902,Hyponatremia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500163,Hypoornithinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500141,Hypophenylalaninemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002148,Hypophosphatemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500139,Hypoprolinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003075,Hypoproteinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012279,Hyposerinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500182,Hypotaurinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0002615,Hypotension,http://purl.obolibrary.org/obo/UBERON_0000178,
